Mod:Item:MetaData, Localized Name
animania:hamster_ball_colored:2, Green Hamster Ball
animania:hamster_ball_colored:3, Brown Hamster Ball
animania:hamster_ball_colored:4, Blue Hamster Ball
animania:hamster_ball_colored:5, Purple Hamster Ball
animania:hamster_ball_colored:6, Cyan Hamster Ball
animania:hamster_ball_colored:7, Light Gray Hamster Ball
animania:hamster_ball_colored:8, Gray Hamster Ball
animania:hamster_ball_colored:9, Pink Hamster Ball
animania:hamster_ball_colored:10, Lime Hamster Ball
animania:hamster_ball_colored:11, Yellow Hamster Ball
animania:hamster_ball_colored:12, Light Blue Hamster Ball
animania:hamster_ball_colored:13, Magenta Hamster Ball
animania:hamster_ball_colored:14, Orange Hamster Ball
animania:hamster_ball_colored:15, White Hamster Ball
animania:wheel, Wheel
animania:milk_bottle, Bottle of Milk
animania:animania_manual, §bAnimania Manual
animania:super_omelette, Super Omelette
animania:truffle_omelette, Truffle Omelette
animania:bacon_omelette, Bacon Omelette
animania:cheese_omelette, Cheese Omelette
animania:plain_omelette, Plain Omelette
animania:truffle, Truffle
animania:truffle_soup, Truffle Soup
animania:chocolate_truffle, Chocolate Truffle
animania:honey_bottle, Bottle of Honey
animania:raw_prime_beef, Raw Prime Beef
animania:cooked_prime_beef, Roast Prime Beef
animania:raw_prime_steak, Raw Prime Steak
animania:cooked_prime_steak, Roast Prime Steak
animania:raw_prime_pork, Raw Prime Pork
animania:cooked_prime_pork, Roast Prime Pork
animania:raw_prime_bacon, Raw Prime Bacon
animania:cooked_prime_bacon, Roast Prime Bacon
animania:raw_prime_chicken, Raw Prime Chicken
animania:cooked_prime_chicken, Roast Prime Chicken
animania:brown_egg, Egg
animania:peacock_egg_blue, Peafowl Egg
animania:peacock_egg_white, Peafowl Egg
animania:raw_prime_mutton, Raw Prime Mutton
animania:cooked_prime_mutton, Roast Prime Mutton
animania:raw_prime_rabbit, Raw Prime Rabbit
animania:cooked_prime_rabbit, Roast Prime Rabbit
animania:raw_frog_legs, Raw Prime Frog Legs
animania:cooked_frog_legs, Cooked Prime Frog Legs
animania:raw_horse, Raw Horse
animania:cooked_horse, Cooked Horse
animania:raw_chevon, Raw Chevon
animania:cooked_chevon, Roast Chevon
animania:raw_prime_chevon, Raw Prime Chevon
animania:cooked_prime_chevon, Roast Prime Chevon
animania:raw_peacock, Raw Peacock
animania:cooked_peacock, Roast Peacock
animania:raw_prime_peacock, Raw Prime Peacock
animania:cooked_prime_peacock, Roast Prime Peacock
animania:friesian_cheese_wedge, Cheese Wedge (Friesian)
animania:holstein_cheese_wedge, Cheese Wedge (Holstein)
animania:jersey_cheese_wedge, Cheese Wedge (Jersey)
animania:goat_cheese_wedge, Cheese Wedge (Goat)
animania:sheep_cheese_wedge, Cheese Wedge (Sheep)
animania:entity_egg_random, item.animania_entity_egg_random.name
animania:entity_egg_cow_random, item.animania_entity_egg_cow_random.name
animania:entity_egg_pig_random, item.animania_entity_egg_pig_random.name
animania:entity_egg_chicken_random, item.animania_entity_egg_chicken_random.name
animania:entity_egg_peacock_random, item.animania_entity_egg_peacock_random.name
animania:entity_egg_dart_frog, item.animania_entity_egg_dart_frog.name
animania:entity_egg_goat_random, item.animania_entity_egg_goat_random.name
animania:entity_egg_sheep_random, item.animania_entity_egg_sheep_random.name
animania:entity_egg_rabbit_random, item.animania_entity_egg_rabbit_random.name
animania:block_straw, Straw
animania:friesian_cheese_wheel, Cheese Wheel (Friesian)
animania:holstein_cheese_wheel, Cheese Wheel (Holstein)
animania:jersey_cheese_wheel, Cheese Wheel (Jersey)
animania:goat_cheese_wheel, Cheese Wheel (Goat)
animania:sheep_cheese_wheel, Cheese Wheel (Sheep)
animania:cheese_mold, Cheese Mold
animania:salt_lick:0, Salt Lick
animania:wool:0, Wool (Dorset, Brown)
animania:wool:1, Wool (Friesian, Black)
animania:wool:2, Wool (Friesian, Brown)
animania:wool:3, Wool (Jacob)
animania:wool:4, Wool (Merino, Brown)
animania:wool:5, Wool (Merino, White)
animania:wool:6, Wool (Suffolk, Brown)
animania:bee_hive, Wooden Beehive
animania:wild_hive, Bee Nest
animania:block_mud, Mud
animania:block_trough, Trough
animania:block_nest, Nest
animania:block_hamster_wheel, Hamster Wheel
betternether:block_eyeball, Eyeball Block
betternether:block_eyeball_small, Small Eyeball Block
betternether:eye_seed, Eye Seed
betternether:netherrack_moss, Nether Moss
betternether:nether_grass, Nether Grass
betternether:nether_reed, Nether Reed
betternether:stalagnate_stem, Stalagnate
betternether:stalagnate_seed, Stalagnate Seed
betternether:stalagnate_bark, Stalagnate Bark Block
betternether:stalagnate_planks, Stalagnate Planks
betternether:stalagnate_planks_stairs, Stalagnate Stairs
betternether:stalagnate_planks_slab_half:0, Stalagnate Slab
betternether:stalagnate_planks_fence, Stalagnate Fence
betternether:stalagnate_planks_gate, Stalagnate Gate
betternether:stalagnate_planks_button, Stalagnate Button
betternether:stalagnate_planks_plate, Stalagnate Pressure Plate
betternether:reeds_block, Reeds Block
betternether:reeds_stairs, Reeds Stairs
betternether:reeds_slab_half:0, Reeds Slab
betternether:reeds_fence, Reeds Fence
betternether:reeds_gate, Reeds Gate
betternether:reeds_button, Reeds Button
betternether:reeds_plate, Reeds Pressure Plate
betternether:lucis_spore, Lucis Spore
betternether:nether_cactus, Nether Cactus
betternether:wart_seed, Wart Seed
betternether:barrel_cactus, Barrel Cactus
betternether:agave, Agave
betternether:black_bush, Black Bush
betternether:ink_bush_seed, Ink Bush Seed
betternether:smoker, Smoker Plant
betternether:egg_plant, Egg Plant
betternether:black_apple_seed, Black Apple Seed
betternether:magma_flower, Magma Flower Seed
betternether:nether_mycelium, Nether Mycelium
betternether:orange_mushroom, Orange Mushroom
betternether:red_mold, Red Mold
betternether:gray_mold, Gray Mold
betternether:cincinnasite_ore, Cincinnasite Ore
betternether:cincinnasite_block, Cincinnasite Block
betternether:cincinnasite_forged, Forged Cincinnasite Block
betternether:cincinnasite_pillar, Cincinnasite Pillar
betternether:cincinnasite_bricks, Cincinnasite Bricks
betternether:cincinnasite_brick_plate, Cincinnasite Brick Plate
betternether:cincinnasite_stairs, Cincinnasite Stairs
betternether:cincinnasite_slab_half:0, Cincinnasite Slab
betternether:cincinnasite_button, Cincinnasite Button
betternether:cincinnasite_plate, Cincinnasite Plate
betternether:cincinnasite_lantern, Cincinnasite Lantern
betternether:cincinnasite_tile_large, Large Cincinnasite Tile
betternether:cincinnasite_tile_small, Small Cincinnasite Tile
betternether:cincinnasite_carved, Carved Cincinnasite
betternether:nether_brick_tile_large, Large Nether Brick Tile
betternether:nether_brick_tile_small, Small Nether Brick Tile
betternether:cincinnasite_wall, Cincinnasite Wall
betternether:bone_block, Hardened Bone Block
betternether:bone_stairs, Hardened Bone Stairs
betternether:bone_slab_half:0, Hardened Bone Slab
betternether:bone_button, Hardened Bone Button
betternether:bone_plate, Hardened Bone Pressure Plate
betternether:cincinnasite_fire_bowl, Cincinnasite Fire Bowl
betternether:bone_wall, Hardened Bone Wall
betternether:nether_brick_wall, Nether Brick Tile Wall
betternether:nether_brick_tile_slab_half:0, Small Nether Brick Tile Slab
betternether:nether_brick_tile_stairs, Small Nether Brick Tile Stairs
betternether:bone_mushroom, Bone Mushroom Spores
betternether:reeds_ladder, Reeds Ladder
betternether:cincinnasite_bricks_pillar, Cincinnasite Brick Pillar
betternether:bone_tile, Hardened Bone Tile
betternether:cincinnasite_pedestal, Cincinnasite Pedestal
betternether:pig_statue_01, Statue of Reincarnation
betternether:cincinnasite_pot, Cincinnasite Pot
betternether:cincinnasite_frame, Cincinnasite Frame
betternether:quartz_glass, Quartz Glass
betternether:quartz_glass_framed, Framed Quartz Glass
betternether:quartz_stained_glass:0, Quartz Stained Glass White
betternether:quartz_stained_glass:1, Quartz Stained Glass Orange
betternether:quartz_stained_glass:2, Quartz Stained Glass Magenta
betternether:quartz_stained_glass:3, Quartz Stained Glass Light Blue
betternether:quartz_stained_glass:4, Quartz Stained Glass Yellow
betternether:quartz_stained_glass:5, Quartz Stained Glass Lime
betternether:quartz_stained_glass:6, Quartz Stained Glass Pink
betternether:quartz_stained_glass:7, Quartz Stained Glass Gray
betternether:quartz_stained_glass:8, Quartz Stained Glass Silver
betternether:quartz_stained_glass:9, Quartz Stained Glass Cyan
betternether:quartz_stained_glass:10, Quartz Stained Glass Purple
betternether:quartz_stained_glass:11, Quartz Stained Glass Blue
betternether:quartz_stained_glass:12, Quartz Stained Glass Brown
betternether:quartz_stained_glass:13, Quartz Stained Glass Green
betternether:quartz_stained_glass:14, Quartz Stained Glass Red
betternether:quartz_stained_glass:15, Quartz Stained Glass Black
betternether:cincinnasite_bars, Cincinnasite Bars
betternether:quartz_glass_pane, Quartz Glass Pane
betternether:quartz_glass_framed_pane, Framed Quartz Glass Pane
betternether:cincinnasite_forge, Cincinnasite Forge
betternether:netherrack_furnace, Netherrack Furnace
betternether:bone_reed_door, Bone-Reed Door
betternether:bone_cincinnasite_door, Bone-Cincinnasite Door
betternether:quartz_stained_glass_framed:0, Framed Quartz Stained Glass White
betternether:quartz_stained_glass_framed:1, Framed Quartz Stained Glass Orange
betternether:quartz_stained_glass_framed:2, Framed Quartz Stained Glass Magenta
betternether:quartz_stained_glass_framed:3, Framed Quartz Stained Glass Light Blue
betternether:quartz_stained_glass_framed:4, Framed Quartz Stained Glass Yellow
betternether:quartz_stained_glass_framed:5, Framed Quartz Stained Glass Lime
betternether:quartz_stained_glass_framed:6, Framed Quartz Stained Glass Pink
betternether:quartz_stained_glass_framed:7, Framed Quartz Stained Glass Gray
betternether:quartz_stained_glass_framed:8, Framed Quartz Stained Glass Silver
betternether:quartz_stained_glass_framed:9, Framed Quartz Stained Glass Cyan
betternether:quartz_stained_glass_framed:10, Framed Quartz Stained Glass Purple
betternether:quartz_stained_glass_framed:11, Framed Quartz Stained Glass Blue
betternether:quartz_stained_glass_framed:12, Framed Quartz Stained Glass Brown
betternether:quartz_stained_glass_framed:13, Framed Quartz Stained Glass Green
betternether:quartz_stained_glass_framed:14, Framed Quartz Stained Glass Red
betternether:quartz_stained_glass_framed:15, Framed Quartz Stained Glass Black
betternether:chest_of_drawers, Cincinnasite Drawer
betternether:black_apple, Black Apple
betternether:cincinnasite, Cincinnasite
betternether:stalagnate_bowl, Stalagnate Bowl
betternether:stalagnate_bowl_wart, Wart Soup
betternether:stalagnate_bowl_mushroom, Mushroom Soup
betternether:stalagnate_bowl_apple, Black Apple
carryon:tile_item, item.tile_item.name
carryon:entity_item, item.entity_item.name
sereneseasons:greenhouse_glass:0, Greenhouse Glass
sereneseasons:season_sensor_spring:0, Season Sensor
sereneseasons:season_sensor_summer:0, Season Sensor
sereneseasons:season_sensor_autumn:0, Season Sensor
sereneseasons:season_sensor_winter:0, Season Sensor
sereneseasons:ss_icon, SS Icon
sereneseasons:season_clock, Season Clock
reccomplex:block_selector, Block Selector
reccomplex:block_selector_floating, Floating Block Selector
reccomplex:inventory_generation_tag, Loot Generation Tag
reccomplex:inventory_generation_single_tag, Single Loot Generation Tag
reccomplex:inventory_generation_component_tag, Loot Table Component Tag
reccomplex:artifact_generation_tag, Artifact Generation Tag
reccomplex:book_generation_tag, Book Generation Tag
reccomplex:generic_space:0, Space (0 ~ Negative Space)
reccomplex:generic_space:1, Space (1 ~ Natural Air)
reccomplex:generic_space:2, Space (2)
reccomplex:generic_space:3, Space (3)
reccomplex:generic_space:4, Space (4)
reccomplex:generic_space:5, Space (5)
reccomplex:generic_space:6, Space (6)
reccomplex:generic_space:7, Space (7)
reccomplex:generic_space:8, Space (8)
reccomplex:generic_space:9, Space (9)
reccomplex:generic_space:10, Space (10)
reccomplex:generic_space:11, Space (11)
reccomplex:generic_space:12, Space (12)
reccomplex:generic_space:13, Space (13)
reccomplex:generic_space:14, Space (14)
reccomplex:generic_space:15, Space (15)
reccomplex:generic_solid:0, Solid (0 ~ Natural Floor)
reccomplex:generic_solid:1, Solid (1 ~ Barrier)
reccomplex:generic_solid:2, Solid (2)
reccomplex:generic_solid:3, Solid (3)
reccomplex:generic_solid:4, Solid (4)
reccomplex:generic_solid:5, Solid (5)
reccomplex:generic_solid:6, Solid (6)
reccomplex:generic_solid:7, Solid (7)
reccomplex:generic_solid:8, Solid (8)
reccomplex:generic_solid:9, Solid (9)
reccomplex:generic_solid:10, Solid (10)
reccomplex:generic_solid:11, Solid (11)
reccomplex:generic_solid:12, Solid (12)
reccomplex:generic_solid:13, Solid (13)
reccomplex:generic_solid:14, Solid (14)
reccomplex:generic_solid:15, Solid (15)
reccomplex:structure_generator, Structure Generator
reccomplex:maze_generator, Maze Generator
reccomplex:weighted_command_block, tile.spawn_command.name
reccomplex:spawn_script, Script Block
reccomplex:inspector, Inspector
grapplemod:block_grapple_modifier, Grappling Hook Modifier
improvedbackpacks:backpack, Backpack
improvedbackpacks:bound_leather, Bound Leather
improvedbackpacks:tanned_leather, Tanned Leather
improvedbackpacks:blank_upgrade, Blank Upgrade
improvedbackpacks:upgrade:0, Storage Upgrade (Wood)
improvedbackpacks:upgrade:1, Storage Upgrade (Stone)
improvedbackpacks:upgrade:2, Storage Upgrade (Iron)
improvedbackpacks:upgrade:3, Storage Upgrade (Gold)
improvedbackpacks:upgrade:4, Storage Upgrade (Diamond)
improvedbackpacks:ender_backpack, Ender Backpack
minetraps:barbed_wire, Barbed Wire
minetraps:razor_wire, Razor Wire
minetraps:barbed_wire_fence, Barbed Wire Fence
minetraps:obstacle, Obstacle
minetraps:fall_trap, Fall Trap
minetraps:mud, Mud
minetraps:quicksand, Quicksand
minetraps:chest_bomb, Chest Bomb
minetraps:spikes, Spikes
minetraps:spikes_toxic, Toxic Spikes
minetraps:wall_spikes, Wall Spikes
minetraps:nail_trap, Nail Trap
minetraps:toxic_nail_trap, Toxic Nail Trap
minetraps:explosive_mine, Mine
minetraps:toxic_mine, Toxic Mine
minetraps:bear_trap, Bear Trap
minetraps:nails, Nails
minetraps:toxin_bottle, Toxin
rustic:olive_oil, Olive Oil
rustic:ironberry_juice, Ironberry Juice
rustic:wildberry_juice, Carminberry Juice
rustic:grape_juice, Grape Juice
rustic:apple_juice, Apple Juice
rustic:ale_wort, Ale Wort
rustic:honey, Honey
rustic:stone_pillar, Stone Pillar
rustic:andesite_pillar, Gray Andesite Pillar
rustic:diorite_pillar, Diorite Pillar
rustic:granite_pillar, Granite Pillar
rustic:chain, Iron Chandelier Chain
rustic:candle, Iron Candle
rustic:chandelier, Iron Chandelier Ring
rustic:chain_gold, Golden Chain
rustic:candle_gold, Golden Candle
rustic:chandelier_gold, Golden Chandelier Ring
rustic:beehive, Beehive
rustic:apiary, Apiary
rustic:clay_wall, Clay Wall
rustic:clay_wall_cross, Crossed Clay Wall
rustic:clay_wall_diag, Diagonal Clay Wall
rustic:chair_oak, Oak Chair
rustic:chair_big_oak, Dark Oak Chair
rustic:chair_birch, Birch Chair
rustic:chair_spruce, Spruce Chair
rustic:chair_acacia, Acacia Chair
rustic:chair_jungle, Jungle Chair
rustic:chair_olive, Olive Wood Chair
rustic:chair_ironwood, Ironwood Chair
rustic:table_oak, Oak Table
rustic:table_big_oak, Dark Oak Table
rustic:table_birch, Birch Table
rustic:table_spruce, Spruce Table
rustic:table_acacia, Acacia Table
rustic:table_jungle, Jungle Table
rustic:table_olive, Olive Wood Table
rustic:table_ironwood, Ironwood Table
rustic:vase, Pot
rustic:barrel, Vertical Barrel
rustic:iron_lattice, Iron Lattice
rustic:iron_lantern, Tin Lantern
rustic:golden_lantern, Golden Lantern
rustic:gargoyle, Gargoyle
rustic:cabinet, Cabinet
rustic:liquid_barrel, Liquid Barrel
rustic:fertile_soil, Ever-Fertile Soil
rustic:planks:0, Olive Wood Planks
rustic:planks:1, Ironwood Planks
rustic:log:0, Olive Wood
rustic:log:1, Ironwood
rustic:leaves:0, Olive Leaves
rustic:leaves:1, Ironwood Leaves
rustic:sapling:0, Olive Sapling
rustic:sapling:1, Ironwood Sapling
rustic:crushing_tub, Crushing Tub
rustic:evaporating_basin, Drying Basin
rustic:fence_olive, Olive Wood Fence
rustic:fence_ironwood, Ironwood Fence
rustic:fence_gate_olive, Olive Wood Fence Gate
rustic:fence_gate_ironwood, Ironwood Fence Gate
rustic:olive_slab_item, Olive Wood Slab
rustic:ironwood_slab_item, Ironwood Slab
rustic:stairs_olive, Olive Wood Stairs
rustic:stairs_ironwood, Ironwood Stairs
rustic:condenser, Alchemic Condenser
rustic:retort, Alchemic Retort
rustic:condenser_advanced, Advanced Alchemic Condenser
rustic:retort_advanced, Advanced Alchemic Retort
rustic:crop_stake, Wooden Stake
rustic:wildberry_bush, Carminberry Bush
rustic:rope, Rope
rustic:grape_stem, Grape Seeds
rustic:brewing_barrel, Brewing Barrel
rustic:apple_seeds, Apple Seeds
rustic:sapling_apple, Apple Sapling
rustic:leaves_apple, Apple Leaves
rustic:olive_door, Olive Door
rustic:ironwood_door, Ironwood Door
rustic:aloe_vera, Aloe Vera
rustic:blood_orchid, Blood Orchid
rustic:chamomile, Chamomile
rustic:cohosh, Cohosh
rustic:deathstalk_mushroom, Deathstalk Mushroom
rustic:horsetail, Horsetail
rustic:mooncap_mushroom, Mooncap Mushroom
rustic:wind_thistle, Wind Thistle
rustic:cloudsbluff, Cloudsbluff
rustic:core_root, Core Root
rustic:ginseng, Ginseng Root
rustic:marsh_mallow, Marsh Mallow Root
rustic:book, §bAlmanac of the Farmer
rustic:bee, Bee
rustic:honeycomb, Honeycomb
rustic:beeswax, Beeswax
rustic:tallow, Tallow
rustic:olives, Olives
rustic:ironberries, Ironberries
rustic:fluid_bottle, Bottle of %s
rustic:dust_tiny_iron, Tiny Pile of Iron Dust
rustic:elixir, item.rustic.elixir.name
rustic:tomato, Tomato
rustic:tomato_seeds, Tomato Seeds
rustic:chili_pepper, Chili Pepper
rustic:chili_pepper_seeds, Chili Pepper Seeds
rustic:wildberries, Carminberries
rustic:grapes, Grapes
rustic:olivebranch, Dynamic Olive Tree
rustic:oliveseed, Olive Pit
rustic:ironwoodbranch, Dynamic Ironwood Tree
rustic:ironwoodbranchx, tile.rustic:ironwoodbranchx.name
rustic:ironwoodseed, Ironberry Seeds
rusticbopwoods:chair_sacred_oak, Sacred Oak Chair
rusticbopwoods:chair_cherry, Cherry Chair
rusticbopwoods:chair_umbran, Umbran Chair
rusticbopwoods:chair_fir, Fir Chair
rusticbopwoods:chair_ethereal, Ethereal Chair
rusticbopwoods:chair_magic, Magic Chair
rusticbopwoods:chair_mangrove, Mangrove Chair
rusticbopwoods:chair_palm, Palm Chair
rusticbopwoods:chair_redwood, Redwood Chair
rusticbopwoods:chair_willow, Willow Chair
rusticbopwoods:chair_pine, Pine Chair
rusticbopwoods:chair_hellbark, Hellbark Chair
rusticbopwoods:chair_jacaranda, Jacaranda Chair
rusticbopwoods:chair_mahogany, Mahogany Chair
rusticbopwoods:chair_ebony, Ebony Chair
rusticbopwoods:chair_eucalyptus, Eucalyptus Chair
rusticbopwoods:table_sacred_oak, Sacred Oak Table
rusticbopwoods:table_cherry, Cherry Table
rusticbopwoods:table_umbran, Umbran Table
rusticbopwoods:table_fir, Fir Table
rusticbopwoods:table_ethereal, Ethereal Table
rusticbopwoods:table_magic, Magic Table
rusticbopwoods:table_mangrove, Mangrove Table
rusticbopwoods:table_palm, Palm Table
rusticbopwoods:table_redwood, Redwood Table
rusticbopwoods:table_willow, Willow Table
rusticbopwoods:table_pine, Pine Table
rusticbopwoods:table_hellbark, Hellbark Table
rusticbopwoods:table_jacaranda, Jacaranda Table
rusticbopwoods:table_mahogany, Mahogany Table
rusticbopwoods:table_ebony, Ebony Table
rusticbopwoods:table_eucalyptus, Eucalyptus Table
villagenames:codex, Codex
villagenames:villagebook, Village Book
villagenames:mineshaftbook, Mineshaft Book
villagenames:jungletemplebook, Jungle Temple Book
villagenames:desertpyramidbook, Desert Pyramid Book
villagenames:swamphutbook, Swamp Hut Book
villagenames:igloobook, Igloo Book
villagenames:templebook, Temple Book
villagenames:strongholdbook, Stronghold Book
villagenames:monumentbook, Monument Book
villagenames:mansionbook, Mansion Book
villagenames:fortressbook, Fortress Book
villagenames:endcitybook, End City Book
villagenames:moonvillagebook, Moon Village Book
villagenames:koentusvillagebook, Koentus Village Book
villagenames:fronosvillagebook, Fronos Village Book
villagenames:nibiruvillagebook, Nibiru Village Book
villagenames:abandonedbasebook, Abandoned Base Book
villagenames:lunaringoldbrick, Lunarin Style Gold Brick
villagenames:lunarinironbrick, Lunarin Style Iron Brick
scalinghealth:crystalore, Heart Crystal Ore
forge:bucketfilled, %s Bucket
antiqueatlas:empty_antique_atlas, Empty Antique Atlas
antiqueatlas:antique_atlas:0, Antique Atlas #0
baubles:ring:0, Miner's Ring
aeble:valkyrie_belt, Valkyrie Belt
aeble:air_ring, Air Ring
aeble:ice_ring, Ice Ring
aeble:luck_belt, Luck Belt
aeble:zanite_ring, Zanite Ring
aeble:bubble_ring, Bubble Ring
aeble:obsidian_ring, Obsidian Ring
aeble:regeneration_ring, Regeneration Ring
aeble:repulsion_belt, Repulsion Belt
twilightforest:naga_scale, Naga Scale
twilightforest:naga_chestplate, Naga Scale Tunic
twilightforest:naga_leggings, Naga Scale Leggings
twilightforest:twilight_scepter, Scepter of Twilight
twilightforest:lifedrain_scepter, Scepter of Life Draining
twilightforest:zombie_scepter, Zombie Scepter
twilightforest:shield_scepter, Scepter of Fortification
twilightforest:ore_meter, Ore Meter [WIP]
twilightforest:magic_map:0, Magic Map
twilightforest:maze_map:0, Maze Map
twilightforest:ore_map:0, Maze/Ore Map
twilightforest:raven_feather, Raven Feather
twilightforest:magic_map_focus, Magic Map Focus
twilightforest:maze_map_focus, Maze Map Focus
twilightforest:liveroot, Liveroot
twilightforest:ironwood_raw, Raw Ironroot Material
twilightforest:ironwood_ingot, Ironroot Ingot
twilightforest:ironwood_helmet, Ironroot Helmet
twilightforest:ironwood_chestplate, Ironroot Chestplate
twilightforest:ironwood_leggings, Ironroot Leggings
twilightforest:ironwood_boots, Ironroot Boots
twilightforest:ironwood_sword, Ironroot Arming Sword
twilightforest:ironwood_shovel, Ironroot Shovel
twilightforest:ironwood_pickaxe, Ironroot Pickaxe
twilightforest:ironwood_axe, Ironroot Axe
twilightforest:ironwood_hoe, §bIronroot Hoe
twilightforest:torchberries, Torchberries
twilightforest:raw_venison, Raw Venison Steak
twilightforest:cooked_venison, Venison Steak
twilightforest:hydra_chop, Hydra Chop
twilightforest:fiery_blood, Fiery Blood
twilightforest:fiery_tears, Fiery Tears
twilightforest:trophy:0, Naga Trophy
twilightforest:trophy:1, Twilight Lich Trophy
twilightforest:trophy:2, Hydra Trophy
twilightforest:trophy:3, Ur-Ghast Trophy
twilightforest:trophy:4, Knight Phantom Trophy
twilightforest:trophy:5, Snow Queen Trophy
twilightforest:trophy:6, Minoshroom Trophy
twilightforest:trophy:8, Questing Ram Trophy
twilightforest:fiery_ingot, Fiery Ingot
twilightforest:fiery_helmet, Fiery Helm
twilightforest:fiery_chestplate, Fiery Plate
twilightforest:fiery_leggings, Fiery Legs
twilightforest:fiery_boots, Fiery Boots
twilightforest:fiery_sword, Fiery Sword
twilightforest:fiery_pickaxe, Fiery Pick
twilightforest:steeleaf_ingot, Steeleaf
twilightforest:steeleaf_helmet, Steeleaf Helm
twilightforest:steeleaf_chestplate, Steeleaf Plate
twilightforest:steeleaf_leggings, Steeleaf Legs
twilightforest:steeleaf_boots, Steeleaf Boots
twilightforest:steeleaf_sword, Steeleaf Arming Sword
twilightforest:steeleaf_shovel, Steeleaf Shovel
twilightforest:steeleaf_pickaxe, Steeleaf Pick
twilightforest:steeleaf_axe, Steeleaf Axe
twilightforest:steeleaf_hoe, Steeleaf Hoe
twilightforest:minotaur_axe_gold, Golden Minotaur Axe
twilightforest:minotaur_axe, Diamond Minotaur Axe
twilightforest:mazebreaker_pickaxe, Mazebreaker
twilightforest:transformation_powder, Transformation Powder
twilightforest:raw_meef, Raw Meef
twilightforest:cooked_meef, Meef Steak
twilightforest:meef_stroganoff, Meef Stroganoff
twilightforest:maze_wafer, Maze Wafer
twilightforest:magic_map_empty, Blank Magic Map
twilightforest:maze_map_empty, Blank Maze Map
twilightforest:ore_map_empty, Blank Maze/Ore Map
twilightforest:ore_magnet, Ore Magnet
twilightforest:crumble_horn, Crumble Horn
twilightforest:peacock_fan, Peacock Feather Fan
twilightforest:moonworm_queen, Moonworm Queen
twilightforest:charm_of_life_1, Charm of Life I
twilightforest:charm_of_life_2, Charm of Life II
twilightforest:charm_of_keeping_1, Charm of Keeping I
twilightforest:charm_of_keeping_2, Charm of Keeping II
twilightforest:charm_of_keeping_3, Charm of Keeping III
twilightforest:tower_key, Tower Key
twilightforest:borer_essence, Borer Essence
twilightforest:carminite, Carminite
twilightforest:experiment_115, Experiment 115
twilightforest:armor_shard, Armor Shard
twilightforest:knightmetal_ingot, Knightmetal Ingot
twilightforest:armor_shard_cluster, Armor Shard Cluster
twilightforest:knightmetal_helmet, Knightly Helm
twilightforest:knightmetal_chestplate, Knightly Plate
twilightforest:knightmetal_leggings, Knightly Greaves
twilightforest:knightmetal_boots, Knightly Boots
twilightforest:knightmetal_sword, Knightly Arming Sword
twilightforest:knightmetal_pickaxe, Knightly Pick
twilightforest:knightmetal_axe, Knightly Axe
twilightforest:knightmetal_shield, Knightly Shield
twilightforest:phantom_helmet, Phantom Helm
twilightforest:phantom_chestplate, Phantom Plate
twilightforest:lamp_of_cinders, Lamp of Cinders
twilightforest:alpha_fur, Alpha Yeti Fur
twilightforest:yeti_helmet, Yeti Horned Helm
twilightforest:yeti_chestplate, Yeti Jacket
twilightforest:yeti_leggings, Yeti Leggings
twilightforest:yeti_boots, Yeti Boots
twilightforest:ice_bomb, Ice Bomb
twilightforest:arctic_fur, Arctic Fur
twilightforest:arctic_helmet, Arctic Hood
twilightforest:arctic_chestplate, Arctic Jacket
twilightforest:arctic_leggings, Arctic Leggings
twilightforest:arctic_boots, Arctic Boots
twilightforest:magic_beans, Magic Beans
twilightforest:giant_pickaxe, Giant's Pickaxe
twilightforest:giant_sword, Giant's Sword
twilightforest:triple_bow, Tri-bow
twilightforest:seeker_bow, Seeker Bow
twilightforest:ice_bow, Ice Bow
twilightforest:ender_bow, Ender Bow
twilightforest:ice_sword, Ice Sword
twilightforest:glass_sword, Glass Sword
twilightforest:knightmetal_ring, Knightmetal Loop
twilightforest:block_and_chain, Block and Chain
twilightforest:cube_talisman, Talisman of the Cube
twilightforest:cube_of_annihilation, Cube of Annihilation
twilightforest:moon_dial, Moon Dial
twilightforest:twilight_log:0, Twilight Oak Wood
twilightforest:twilight_log:1, Canopy Tree Wood
twilightforest:twilight_log:2, Twilight Mangrove Wood
twilightforest:twilight_log:3, Darkwood
twilightforest:root:0, Roots
twilightforest:root:1, Liveroots
twilightforest:twilight_leaves:0, Twilight Oak Leaves
twilightforest:twilight_leaves:1, Canopy Tree Leaves
twilightforest:twilight_leaves:2, Twilight Mangrove Leaves
twilightforest:twilight_leaves:3, Rainbow Oak Leaves
twilightforest:firefly, Giant Firefly
twilightforest:cicada, Cicada
twilightforest:maze_stone:0, Mazestone
twilightforest:maze_stone:1, Mazestone Brick
twilightforest:maze_stone:2, Chiseled Mazestone
twilightforest:maze_stone:3, Decorative Mazestone Brick
twilightforest:maze_stone:4, Cracked Mazestone Brick
twilightforest:maze_stone:5, Mossy Mazestone Brick
twilightforest:maze_stone:6, Mazestone Mosaic
twilightforest:maze_stone:7, Mazestone Border
twilightforest:hedge:0, Hedge
twilightforest:boss_spawner:0, Naga Spawner
twilightforest:boss_spawner:1, Lich Spawner
twilightforest:boss_spawner:2, Hydra Spawner
twilightforest:boss_spawner:3, Ur-Ghast Spawner
twilightforest:boss_spawner:4, Knight Phantoms Spawner
